,NumImages,Total TP,Total FP,Total FN,Total TN,Total Centre P4 Count,Total Centre Correct Count,Region JI,Region Dice,Region Precision,Region Recall,Region Area Ratio,Region Centre Correct Fraction,Median JI,Median Dice,Median Precision,Median Recall,Median Area Ratio,Median Centre Correct Fraction,Max JI,Max Dice,Max Precision,Max Recall,Max Area Ratio,Max Centre Correct Fraction,Min JI,Min Dice,Min Precision,Min Recall,Min Area Ratio,Min Centre Correct Fraction
Taichung,1.0,147332.0,882377.0,242772.0,45640832.0,378.0,214.0,0.1157832612039001,0.20753718975667923,0.14308120061104643,0.37767364600209175,0.3788487815489619,0.5661375661375662,0.1157832612039001,0.20753718975667923,0.14308120061104643,0.37767364600209175,0.3788487815489619,0.5661375661375662,0.1157832612039001,0.20753718975667923,0.14308120061104643,0.37767364600209175,0.3788487815489619,0.5661375661375662,0.1157832612039001,0.20753718975667923,0.14308120061104643,0.37767364600209175,0.3788487815489619,0.5661375661375662
Schenectady,1.0,1269280.0,4447587.0,1262095.0,39934416.0,300.0,179.0,0.1818723185482311,0.3077698253761226,0.22202370634125299,0.5014191891758432,0.44279060541376947,0.5966666666666667,0.1818723185482311,0.3077698253761226,0.22202370634125299,0.5014191891758432,0.44279060541376947,0.5966666666666667,0.1818723185482311,0.3077698253761226,0.22202370634125299,0.5014191891758432,0.44279060541376947,0.5966666666666667,0.1818723185482311,0.3077698253761226,0.22202370634125299,0.5014191891758432,0.44279060541376947,0.5966666666666667
Caterpillar,1.0,7813863.0,6051054.0,7178027.0,187576928.0,11075.0,7123.0,0.3713293634198713,0.5415611644074134,0.5635708457540712,0.5212059987099692,1.0812823473808029,0.6431602708803612,0.3713293634198713,0.5415611644074134,0.5635708457540712,0.5212059987099692,1.0812823473808029,0.6431602708803612,0.3713293634198713,0.5415611644074134,0.5635708457540712,0.5212059987099692,1.0812823473808029,0.6431602708803612,0.3713293634198713,0.5415611644074134,0.5635708457540712,0.5212059987099692,1.0812823473808029,0.6431602708803612
Cortland,1.0,554734.0,1815756.0,325910.0,44216908.0,572.0,510.0,0.20573134549770064,0.3412556972428697,0.2340165957249345,0.6299185595995658,0.37150293821108715,0.8916083916083916,0.20573134549770064,0.3412556972428697,0.2340165957249345,0.6299185595995658,0.37150293821108715,0.8916083916083916,0.20573134549770064,0.3412556972428697,0.2340165957249345,0.6299185595995658,0.37150293821108715,0.8916083916083916,0.20573134549770064,0.3412556972428697,0.2340165957249345,0.6299185595995658,0.37150293821108715,0.8916083916083916
Geneseo,1.0,45927.0,1515702.0,66348.0,21907694.0,31.0,25.0,0.028211086520264106,0.05487411464456743,0.02940967412874633,0.4090581162324649,0.07189607774958072,0.8064516129032258,0.028211086520264106,0.05487411464456743,0.02940967412874633,0.4090581162324649,0.07189607774958072,0.8064516129032258,0.028211086520264106,0.05487411464456743,0.02940967412874633,0.4090581162324649,0.07189607774958072,0.8064516129032258,0.028211086520264106,0.05487411464456743,0.02940967412874633,0.4090581162324649,0.07189607774958072,0.8064516129032258
Wellington,2.0,10845076.0,1109688.0,6653066.0,173678400.0,10918.0,8432.0,0.5828232523620432,0.7364350397206986,0.9071760847809291,0.6197844319699771,1.463696146573868,0.772302619527386,0.5279826417163436,0.6867111791030325,0.8273369894940501,0.5882855804809838,1.3980812537831302,0.7727401037424491,0.6161584159308151,0.7624975495684226,0.9539304593052579,0.6350557887033382,1.5021207211621523,0.8611929307805597,0.43980686750187215,0.6109248086376422,0.7007435196828422,0.5415153722586293,1.294041786404108,0.6842872767043383
Binghamton,2.0,2954413.0,3592340.0,4110928.0,329533568.0,6257.0,3859.0,0.27720974196919573,0.4340864822120682,0.4512791302803084,0.41815575497346835,1.0792130083416924,0.6167492408502477,0.276216210006833,0.4264646276464188,0.48083103420486495,0.4147321969545792,1.1456188917883106,0.6176254943616055,0.3576248986118514,0.5268390392331738,0.6875761900620356,0.4270143612164144,1.6101945332783933,0.6236438458660681,0.1948075214018146,0.3260902160596639,0.2740858783476943,0.40245003269274393,0.6810432502982277,0.6116071428571429
Buffalo,2.0,5066543.0,29399526.0,3508859.0,137353108.0,2184.0,2027.0,0.13341810680984043,0.2354261079970989,0.14700089528631768,0.5908227975784692,0.24880708037809593,0.9281135531135531,0.15393647600488328,0.2487202698652994,0.18826518774622278,0.6326788002967059,0.3220773573533585,0.8932172856351,0.2711906290502736,0.426671850551454,0.33923490821790947,0.6905237827242912,0.5901443124474407,0.935370741482966,0.036682322959492954,0.07076868917914482,0.037295467274536066,0.5748338178691206,0.05401040225927629,0.851063829787234
Atka,3.0,637792.0,18741110.0,1944157.0,146370894.0,1096.0,610.0,0.029910905372442106,0.05808445219176616,0.032911668576475595,0.24701959643664534,0.1332350511912388,0.5565693430656934,0.03333533487297922,0.06451987800664322,0.035668993166791375,0.3375363044098458,0.11545277204370694,0.5815899581589958,0.037290835874579716,0.07190044408931538,0.0401007748353002,0.3473348809686376,0.1390335095011277,0.5839080459770115,0.028595146512761356,0.05560039483819622,0.031665356431099516,0.22775341386921313,0.10567453841492888,0.4262295081967213
Halifax,3.0,2137759.0,11028919.0,1550828.0,135639852.0,2709.0,1656.0,0.14525280302246862,0.2536606810987546,0.16236130328394147,0.5795604116156132,0.280145606963275,0.6112956810631229,0.24498251010940486,0.3935517296349434,0.3884583611974352,0.3987804385575253,0.6342968201302948,0.6618020304568528,0.3577868125760032,0.52701471138493,0.4306492334891381,0.678939606540477,0.9741158884386925,0.68,0.04165368398369058,0.07997607002049015,0.044902479266600376,0.3653641834756021,0.12289786820223123,0.5275895450145208
Rochester,4.0,12611532.0,4503481.0,17478735.0,184229946.0,70290.0,40065.0,0.3645610183666713,0.5343271769598655,0.7368695542328831,0.4191232999029221,1.7581211886897194,0.5699957319675629,0.3554425905472225,0.5241334794969477,0.7500115244037633,0.39945395265417727,1.9428886019502771,0.5476482277725068,0.4013278502026126,0.5727822367115392,0.7950218792383482,0.48952591241709414,2.2052805823684274,0.6600808960796515,0.309501346512385,0.47270107409463097,0.6901617921690768,0.34352535141650553,1.409857526767722,0.49188214070956104
Pisaq,4.0,5547902.0,11339875.0,5929026.0,246264096.0,12554.0,7067.0,0.2431498400542793,0.39118347960960637,0.3285158253806881,0.48339607950838415,0.6795996891716417,0.5629281503903139,0.26248748130863786,0.4146566198205621,0.34705264695229243,0.5268709718302301,0.6713738060425946,0.6265517517197248,0.32166499399399495,0.4867572273696105,0.41202107447834296,0.5946137019325656,0.7978526862731654,0.8958097395243488,0.21402215592029955,0.3525836079293928,0.3065394675315768,0.3972496411666612,0.648021006500304,0.4027386226339106
Troy,5.0,5046314.0,44627954.0,6153834.0,545459752.0,4724.0,2801.0,0.09039021244175559,0.16579424761955827,0.10158808983355326,0.4505577962005502,0.225471827788182,0.5929297205757832,0.07980431675328481,0.14781256025674885,0.08929612790856939,0.3949892195240882,0.22025599395353224,0.6523809523809524,0.18212991310131926,0.3081385744203041,0.46089320974999193,0.5420870475490843,1.991467138556492,0.7103064066852368,0.06530790695560376,0.12260850882490529,0.07256700821321017,0.23143400201123518,0.18371895896461224,0.30522456461961506
Albany,5.0,13170910.0,25938560.0,9654464.0,255935932.0,12981.0,11070.0,0.27009531265463527,0.4253150294525647,0.3367703525514409,0.5770293183366897,0.5836278016552001,0.8527848393806332,0.2622150585271393,0.41548396488489736,0.34045350214624065,0.6106494137633731,0.5510811812335007,0.9254884143571104,0.2869705249028676,0.4459628551703254,0.48260256765292386,0.638790220147014,1.3230863688644183,0.943561872909699,0.2572261362562629,0.40919629148376535,0.30100801526418536,0.3647551505402728,0.47121575404662586,0.6305847076461769
Manhattan_Cracks,6.0,12483527.0,29532671.0,8123507.0,450988024.0,9229.0,5379.0,0.24897487928977644,0.3986867685142792,0.2971122470433903,0.6057896056268942,0.4904545147088273,0.5828367103694875,0.2684653874886773,0.4232341051703843,0.37573280160715083,0.6034012145598928,0.6216818734425444,0.7448814655172413,0.4597239268468253,0.6298779082697956,0.6146430015757621,0.7027098387519888,1.4554060652307417,0.853763440860215,0.004792221800545571,0.009538731882215629,0.004864622332008182,0.24356543269521105,0.019972548149291752,0.25303564433999215
Manhattan_Frontinella,8.0,5671291.0,74228178.0,4583858.0,472008828.0,1993.0,1641.0,0.06712911531052748,0.1258125457311571,0.07098033404952916,0.5530188786140504,0.1283506527433868,0.8233818364274962,0.09928271452930823,0.17739971802082752,0.10719986605292482,0.5901464642636594,0.1738420008604379,0.8415199355533933,0.3309229153347338,0.49728336858863836,0.4079104759063442,0.6368074168460829,0.7651953481666587,0.9782608695652174,0.019977100386682066,0.039171664499347246,0.02032726464810476,0.40752708093244866,0.0378555472639409,0.7253521126760564
Starburst,10.0,18805939.0,117520094.0,22529458.0,855261992.0,6691.0,4374.0,0.11838394053372697,0.211705365649708,0.1379482596695233,0.4549596801985475,0.30320985721047133,0.6537139441040203,0.100952180599857,0.18333685361927526,0.16801813789541198,0.4452737872571552,0.36493818364326575,0.5451977401129944,0.4709553164290198,0.640339391916186,0.626436765849703,0.6548731110075015,2.4636023169504004,0.8415529905561385,0.0017885255489889962,0.0035706648726264224,0.001799851958139444,0.12192674895801647,0.008132650654618736,0.16802168021680217
Bilbao,10.0,21465309.0,116915905.0,19180779.0,669303292.0,9104.0,6863.0,0.13623405360200033,0.239799279330032,0.1551172184397804,0.5281027044964327,0.29372547634970164,0.7538444639718805,0.22144580269967215,0.36219384127115506,0.364263209206666,0.5236026320556044,0.5431775438213879,0.8199576597382603,0.4135897775626622,0.5851623775545143,0.7047694720206095,0.7292276223442133,1.6801266397152546,0.8948374760994264,0.013211693543292395,0.026078841425704265,0.013366980077985452,0.25658606152737073,0.025120699174194457,0.2902097902097902
Portsmouth,11.0,27800201.0,34370934.0,42661037.0,956645388.0,67419.0,16841.0,0.2651876849408405,0.4192068704071215,0.4471560797466541,0.39454601975628073,1.133343278999169,0.2497960515581661,0.27691820714104837,0.4337289664951265,0.5813215336168036,0.37683264374936787,1.6296599411484525,0.27881568884518737,0.35498336059355107,0.5239671141615355,0.6840462960987805,0.46004076802564553,4.440280497245117,0.45701357466063347,0.11540982259723916,0.20693707417513435,0.20590396936676408,0.1267707895357542,0.47074802710237584,0.08378122036041732
Macclesfield,14.0,65710147.0,93514642.0,38457093.0,1095486475.0,16669.0,12043.0,0.33240348753863036,0.498953193454461,0.41268792009515554,0.6308139392000787,0.6542149664899226,0.7224788529605856,0.34652114032343456,0.5146784703820311,0.4337656736944989,0.6467118650505066,0.6885784326591144,0.739213244450956,0.4794450231170629,0.6481417229102757,0.7775239645229244,0.6872898387623908,1.741921910996255,0.8823529411764706,0.24550918041587874,0.3942310043291053,0.2985977053692606,0.44635982796624696,0.5148361963684094,0.5747330960854092
BuenosAires,14.0,16383622.0,57140551.0,20819623.0,1030970272.0,19496.0,10169.0,0.17365871095540825,0.29592710271632994,0.22283313543696712,0.44038153123470813,0.5060001830962451,0.5215941731637259,0.21103442788604607,0.34841701362308525,0.31238400588794407,0.45784447623645896,0.6749339382439994,0.5928014412559517,0.38075299800628865,0.5515150045751405,0.5272545902196644,0.6950920052259598,1.121933383050673,0.8728070175438597,0.10844496510926821,0.19567044600237432,0.1255860776843652,0.31719334889098044,0.28364891326349095,0.2597714972940469
Inca_City,15.0,22631258.0,97669272.0,21826602.0,1214827872.0,21527.0,11954.0,0.15923249615703214,0.2747205529260149,0.18812267909376626,0.5090496483636414,0.3695566428510332,0.5553026431922702,0.15731781587619406,0.27186623020590117,0.18795669972453072,0.4858617961737733,0.3807671958822361,0.5613275613275613,0.2559646006356124,0.40759843152597625,0.32602330307535454,0.6186830918211539,0.6307614112232703,0.6617283950617284,0.012473989934385326,0.024640613108873482,0.013578959525292793,0.13291745057266396,0.10216084845736174,0.2934472934472934
Inca_City_Ridges,15.0,57761592.0,67245759.0,43473687.0,1194694329.0,39834.0,23071.0,0.34283734647931124,0.5106163414030327,0.46206556284838,0.5705678155932182,0.8098346072464171,0.5791785911532862,0.3246224963593414,0.4901358647487115,0.39712308827676135,0.5706287222418861,0.8193843033689586,0.5983193277310924,0.46856621330093784,0.6381274593642302,0.7177083728809269,0.6400449466150919,1.2494201192845817,0.7481857764876633,0.1411188483077866,0.24733418174111788,0.16667418939301282,0.3291985611600848,0.3477651024189528,0.3302197802197802
Oswego_Edge,16.0,21536002.0,198687865.0,12736198.0,945557296.0,9180.0,6545.0,0.09244503773640345,0.16924428148431858,0.097791407867704,0.6283810785417919,0.15562436745332422,0.7129629629629629,0.12351138420570659,0.21985520209224332,0.13671060524640966,0.6193962480414312,0.23264971008765137,0.8164277924910421,0.41225559280290075,0.5838257535021659,0.5799939555288623,0.6852436668860475,1.1499983525421806,0.919921875,0.015242955407366865,0.030028192416761208,0.015483565685310506,0.47468974776701683,0.031268580566831156,0.44177911044477763
Potsdam,16.0,9409156.0,38718936.0,13228932.0,960574682.0,6660.0,4316.0,0.1533509187147017,0.26592239400233275,0.19550236896987314,0.41563386448537526,0.47037160750108276,0.648048048048048,0.12905767014709785,0.22852601681363413,0.21295267760791953,0.4751063465018923,0.4822383495827064,0.7316157051470157,0.34337838505273566,0.5112161828318474,0.47608449651109397,0.6925029059305803,1.1709067421242143,0.85,0.02250041778125827,0.044010579144959816,0.023269954686285788,0.18998659115910915,0.05747095986355425,0.17330210772833723
Ithaca,16.0,188231768.0,44231793.0,69584742.0,1002855058.0,39289.0,29777.0,0.6231843255878183,0.7678540456114114,0.8097259079671416,0.7300997441940394,1.109062034888126,0.7578966122833363,0.621497858767942,0.7664909243340257,0.8339522657147358,0.7195725372835955,1.1177783372793795,0.7996213245397088,0.7135580809265601,0.8328379552791385,0.893875198809632,0.8297698091643759,1.325744925958753,0.9035490605427975,0.3223650340232107,0.48755831518387294,0.4311428431708152,0.447676006420639,0.7104673415162925,0.5438362260792168
Manhattan_Classic,17.0,44915495.0,159210911.0,29029249.0,1039376936.0,14081.0,9865.0,0.19264167107591706,0.3230503775742288,0.2200376515716443,0.6074197105882198,0.3622497718399059,0.7005894467722463,0.3182334968951925,0.4828181011098885,0.4182061526684633,0.6174301138773273,0.6138257728993051,0.7482768127929418,0.49002035063459,0.6577364536341984,0.7357558754541692,0.7748730333588701,2.130631774210857,0.8421052631578947,0.006766495826662751,0.01344203617166806,0.007028723336975272,0.1535241159938817,0.04045233673375536,0.44227642276422763
Giza,18.0,24444326.0,137381248.0,17542246.0,1387280458.0,11036.0,7119.0,0.1362804431697949,0.23987114094760575,0.1510535411417728,0.5821938976108838,0.25945572731291533,0.645070677781805,0.1621643067887305,0.27763877202873855,0.2401702781053629,0.5791506273594124,0.34585896370713665,0.7322443745207435,0.3415532039917433,0.5091906947491371,0.6289585097375106,0.7373044699759176,4.853494047915525,0.8365155131264916,0.013282637901045606,0.026217044295873453,0.013595176608848715,0.12958880829526004,0.03712504395383646,0.18666666666666668
